feature,importance
trending_lag,0.14897331197114444
tag_cnt,0.14095770923704704
caps_ratio,0.13533942112283814
title_len,0.09864262352143006
publish_hour,0.08595034932207794
category_News & Politics,0.08188234329040217
publish_weekday,0.05457419933763126
category_Music,0.05033359735623219
word_count,0.048864970790032686
has_bracket,0.01616572813976888
category_Sports,0.013471589450260939
has_number,0.01323348022126847
category_Film & Animation,0.010374694131449529
category_Howto & Style,0.00972058026254191
hour_bin_06-11,0.009106213609361445
category_Nonprofits & Activism,0.008980237087510598
category_Science & Technology,0.007610508280290197
ratings_disabled,0.00760084158592069
exclaim_cnt,0.007537509539028617
hour_bin_12-17,0.006989821069842844
comments_disabled,0.006439373299313212
category_Entertainment,0.005773451327529607
category_Education,0.0056646360079844775
category_Comedy,0.004917330250117745
question_cnt,0.003870906064437704
category_People & Blogs,0.0036213852605319536
hour_bin_18-23,0.003535820387490757
category_Gaming,0.0034801650271851768
hour_bin_00-05,0.0025113154138336202
category_Pets & Animals,0.0019203785019462002
category_Autos & Vehicles,0.0017600072601226646
category_Travel & Events,0.000185990101479119
category_Shows,9.511771947834957e-06
