category,tag,df_count
Gaming,gameplay,24
Gaming,nintendo,22
Gaming,nintendo switch,18
Gaming,video game,17
Gaming,action,17
Gaming,game,17
Gaming,rpg,15
Gaming,play,15
Gaming,fun,14
Gaming,kids,13
Gaming,play nintendo,12
Gaming,adventure,12
Gaming,xbox one,9
Gaming,games,8
Gaming,e3 2018,8
Music,pop,166
Music,music,93
Music,records,76
Music,music video,54
Music,official,50
Music,alternative,49
Music,live,46
Music,country,39
Music,official video,38
Music,lyrics,33
Music,rap,33
Music,rca records label,31
Music,hip hop,30
Music,song,27
Music,island,27
Film & Animation,trailer,74
Film & Animation,movie,47
Film & Animation,animation,43
Film & Animation,film,36
Film & Animation,comedy,25
Film & Animation,honest trailers,25
Film & Animation,honest trailer,25
Film & Animation,official,24
Film & Animation,official trailer,23
Film & Animation,screenjunkies,23
Film & Animation,screen junkies,23
Film & Animation,disney,21
Film & Animation,2018,20
Film & Animation,animated,18
Film & Animation,movies,17
