category,tag,n_with,n_without,median_with,median_without,diff,U,p,sig,q,sig_fdr,rank_biserial
Gaming,gameplay,24,77,13.7984,14.1793,-0.3809,783.0,0.2622765837500506,,0.5131,,-0.1526
Gaming,nintendo,22,79,13.6774,14.1793,-0.5019,725.0,0.23774570231439318,,0.4863,,-0.1657
Gaming,nintendo switch,18,83,13.4381,14.1793,-0.7412,625.0,0.2809531643021931,,0.5161,,-0.1633
Gaming,video game,17,84,13.1744,14.1762,-1.0018,621.0,0.40113732248061185,,0.5309,,-0.1303
Gaming,action,17,84,13.7365,14.1762,-0.4398,633.0,0.46497967767295123,,0.5694,,-0.1134
Gaming,game,17,84,14.209,14.1317,0.0774,694.0,0.8595123020148756,,0.9209,,-0.028
Gaming,rpg,15,86,13.7365,14.1762,-0.4398,602.0,0.6848397284450607,,0.7517,,-0.0667
Gaming,play,15,86,13.4909,14.1762,-0.6853,571.0,0.4827336881804295,,0.5717,,-0.1147
Gaming,fun,14,87,13.6917,14.1732,-0.4815,550.0,0.5653316663835048,,0.6523,,-0.0969
Gaming,kids,13,88,13.1744,14.1762,-1.0018,484.0,0.3749008043089287,,0.5309,,-0.1538
Gaming,play nintendo,12,89,13.0778,14.1793,-1.1015,420.0,0.23355776126425787,,0.4863,,-0.2135
Gaming,adventure,12,89,13.0778,14.1793,-1.1015,432.0,0.28674127359268264,,0.5161,,-0.191
Gaming,xbox one,9,92,14.5585,14.1317,0.4268,417.0,0.976226607289276,,0.9762,,0.0072
Gaming,games,8,93,12.2411,14.1896,-1.9485,190.0,0.020410261982185467,*,0.112,,-0.4892
Gaming,e3 2018,8,93,14.4058,13.8859,0.5199,493.0,0.1315503996012427,,0.3116,,0.3253
Music,pop,166,626,14.3893,13.7986,0.5908,59097.0,0.00644809773118483,*,0.0415,*,0.1374
Music,music,93,699,13.1993,14.0945,-0.8952,23969.0,3.831148360795368e-05,*,0.0017,*,-0.2626
Music,records,76,716,14.0775,13.9239,0.1536,28637.0,0.451266533239138,,0.5694,,0.0525
Music,music video,54,738,14.3522,13.9071,0.445,22507.0,0.11180533934687023,,0.2795,,0.1295
Music,official,50,742,14.2427,13.9071,0.3355,21362.0,0.07256107383632061,,0.2041,,0.1516
Music,alternative,49,743,12.8769,14.0342,-1.1573,13401.0,0.001962315518491248,*,0.0177,*,-0.2638
Music,live,46,746,13.6447,13.9723,-0.3277,16065.0,0.4681558674600439,,0.5694,,-0.0637
Music,country,39,753,13.2639,14.0487,-0.7849,10108.0,0.0010231145952730785,*,0.0115,*,-0.3116
Music,official video,38,754,14.5964,13.9059,0.6905,17064.0,0.04665273893977354,*,0.14,,0.1911
Music,lyrics,33,759,13.1622,13.9711,-0.8089,11226.0,0.313392493042393,,0.5309,,-0.1036
Music,rap,33,759,14.4569,13.9239,0.5331,13613.0,0.3972987754991181,,0.5309,,0.087
Music,rca records label,31,761,15.0711,13.907,1.1641,14313.0,0.043812819914993514,*,0.14,,0.2134
Music,hip hop,30,762,13.3017,13.9723,-0.6706,9280.0,0.08031639124007774,,0.2126,,-0.1881
Music,song,27,765,13.8771,13.9628,-0.0857,9178.0,0.32537579256851756,,0.5309,,-0.1113
Music,island,27,765,13.3374,13.9711,-0.6337,9193.0,0.331731699497368,,0.5309,,-0.1099
Film & Animation,trailer,74,232,14.4289,13.5009,0.928,10997.0,0.0002723938980006097,*,0.0041,*,0.2811
Film & Animation,movie,47,259,14.5173,13.5302,0.9871,7782.0,0.002386820722922656,*,0.0179,*,0.2786
Film & Animation,animation,43,263,13.9031,13.8845,0.0186,6157.0,0.3506742081542009,,0.5309,,0.0889
Film & Animation,film,36,270,14.2351,13.8508,0.3842,5297.0,0.3813935665994286,,0.5309,,0.0899
Film & Animation,comedy,25,281,14.4657,13.8285,0.6372,4383.0,0.04015122087625079,*,0.139,,0.2478
Film & Animation,honest trailers,25,281,14.4552,13.5475,0.9077,4464.0,0.024880327646045048,*,0.112,,0.2709
Film & Animation,honest trailer,25,281,14.4552,13.5475,0.9077,4464.0,0.024880327646045048,*,0.112,,0.2709
Film & Animation,official,24,282,14.331,13.8789,0.4522,3948.0,0.17567022079539174,,0.3953,,0.1667
Film & Animation,official trailer,23,283,14.0792,13.8285,0.2507,3629.0,0.359400910014921,,0.5309,,0.1151
Film & Animation,screenjunkies,23,283,14.4552,13.6597,0.7955,4110.0,0.03615110442929675,*,0.1356,,0.2629
Film & Animation,screen junkies,23,283,14.4552,13.6597,0.7955,4110.0,0.03615110442929675,*,0.1356,,0.2629
Film & Animation,disney,21,285,15.1822,13.7254,1.4568,4497.0,0.00012124689566170528,*,0.0027,*,0.5028
Film & Animation,2018,20,286,13.3309,13.9161,-0.5852,2816.0,0.9094647753815851,,0.9518,,-0.0154
Film & Animation,animated,18,288,13.8614,13.893,-0.0316,2624.0,0.931071586550174,,0.9522,,0.0123
Film & Animation,movies,17,289,14.1383,13.8845,0.2537,2615.0,0.6558417622402066,,0.7378,,0.0645
