feature,perm_imp
chan_mean_oof,0.525211001654147
chan_freq_log,0.049800274307238934
tag_cnt,0.014850919475393165
title_len,0.010253812160166886
category_News & Politics,0.005759006467444061
publish_weekday_1,0.0038670210700611275
category_Music,0.0034638330668176343
has_number,0.0019468241213435155
has_bracket,0.0015628192508990502
publish_weekday_6,0.0006832829658110606
exclaim_cnt,0.00053373396576889
question_cnt,0.00047508879898497944
category_Travel & Events,0.0004689663563038571
hour_bin_06-11,0.0004202483365387644
category_Comedy,0.00011340412890843421
category_Entertainment,8.481235396627929e-05
publish_weekday_3,6.665449340861329e-05
category_Sports,4.1553912679026525e-05
category_People & Blogs,4.392697440580573e-06
category_Nonprofits & Activism,3.1703735155819145e-06
category_Shows,-3.3306690738754695e-17
category_Science & Technology,-0.00011140194190482067
category_Pets & Animals,-0.00019162253170202926
hour_bin_12-17,-0.00026238204797183193
publish_weekday_5,-0.00036992663500541313
category_Howto & Style,-0.00038502580179795577
category_Education,-0.0004425735198528291
category_Gaming,-0.0007740304357042649
category_Film & Animation,-0.0008630210056258303
hour_bin_18-23,-0.0010137855207726254
publish_weekday_2,-0.0010720483611960097
publish_weekday_4,-0.0016323962999921448
caps_ratio,-0.009237265328460286
